-		lowSrc	0x001975e0	double [4096]
		[0]	-249.00000000000000	double
		[1]	-68.000000000000000	double
		[2]	-122.00000000000000	double
		[3]	15.000000000000000	double
		[4]	31.000000000000000	double
		[5]	153.00000000000000	double
		[6]	205.00000000000000	double
		[7]	77.000000000000000	double
		[8]	-12.000000000000000	double
		[9]	-61.000000000000000	double
		[10]	121.00000000000000	double
		[11]	239.00000000000000	double
		[12]	278.00000000000000	double
		[13]	132.00000000000000	double
		[14]	82.000000000000000	double
		[15]	226.00000000000000	double
		[16]	131.00000000000000	double
		[17]	125.00000000000000	double
		[18]	-79.000000000000000	double
		[19]	-17.000000000000000	double
		[20]	4.0000000000000000	double
		[21]	156.00000000000000	double
		[22]	-27.000000000000000	double
		[23]	-23.000000000000000	double
		[24]	197.00000000000000	double
		[25]	140.00000000000000	double
		[26]	9.0000000000000000	double
		[27]	7.0000000000000000	double
		[28]	187.00000000000000	double
		[29]	214.00000000000000	double
		[30]	-52.000000000000000	double
		[31]	88.000000000000000	double
		[32]	-28.000000000000000	double
		[33]	59.000000000000000	double
		[34]	90.000000000000000	double
		[35]	-14.000000000000000	double
		[36]	-123.00000000000000	double
		[37]	-121.00000000000000	double
		[38]	141.00000000000000	double
		[39]	179.00000000000000	double
		[40]	101.00000000000000	double
		[41]	149.00000000000000	double
		[42]	217.00000000000000	double
		[43]	73.000000000000000	double
		[44]	258.00000000000000	double
		[45]	286.00000000000000	double
		[46]	78.000000000000000	double
		[47]	-111.00000000000000	double
		[48]	-505.00000000000000	double
		[49]	-151.00000000000000	double
		[50]	62.000000000000000	double
		[51]	79.000000000000000	double
		[52]	436.00000000000000	double
		[53]	209.00000000000000	double
		[54]	184.00000000000000	double
		[55]	397.00000000000000	double
		[56]	-196.00000000000000	double
		[57]	-177.00000000000000	double
		[58]	229.00000000000000	double
		[59]	-349.00000000000000	double
		[60]	97.000000000000000	double
		[61]	-17.000000000000000	double
		[62]	88.000000000000000	double
		[63]	347.00000000000000	double
		[64]	307.00000000000000	double
		[65]	233.00000000000000	double
		[66]	-58.000000000000000	double
		[67]	-46.000000000000000	double
		[68]	-10.000000000000000	double
		[69]	1.0000000000000000	double
		[70]	64.000000000000000	double
		[71]	119.00000000000000	double
		[72]	24.000000000000000	double
		[73]	281.00000000000000	double
		[74]	339.00000000000000	double
		[75]	306.00000000000000	double
		[76]	-179.00000000000000	double
		[77]	-67.000000000000000	double
		[78]	-165.00000000000000	double
		[79]	-264.00000000000000	double
		[80]	57.000000000000000	double
		[81]	211.00000000000000	double
		[82]	209.00000000000000	double
		[83]	-25.000000000000000	double
		[84]	-42.000000000000000	double
		[85]	43.000000000000000	double
		[86]	112.00000000000000	double
		[87]	123.00000000000000	double
		[88]	63.000000000000000	double
		[89]	-190.00000000000000	double
		[90]	-289.00000000000000	double
		[91]	212.00000000000000	double
		[92]	502.00000000000000	double
		[93]	269.00000000000000	double
		[94]	262.00000000000000	double
		[95]	205.00000000000000	double
		[96]	234.00000000000000	double
		[97]	55.000000000000000	double
		[98]	-129.00000000000000	double
		[99]	-115.00000000000000	double
		[100]	-14.000000000000000	double
		[101]	-81.000000000000000	double
		[102]	179.00000000000000	double
		[103]	-201.00000000000000	double
		[104]	341.00000000000000	double
		[105]	1.0000000000000000	double
		[106]	-303.00000000000000	double
		[107]	-33.000000000000000	double
		[108]	118.00000000000000	double
		[109]	130.00000000000000	double
		[110]	273.00000000000000	double
		[111]	22.000000000000000	double
		[112]	54.000000000000000	double
		[113]	350.00000000000000	double
		[114]	376.00000000000000	double
		[115]	20.000000000000000	double
		[116]	192.00000000000000	double
		[117]	-71.000000000000000	double
		[118]	84.000000000000000	double
		[119]	-38.000000000000000	double
		[120]	93.000000000000000	double
		[121]	71.000000000000000	double
		[122]	207.00000000000000	double
		[123]	-31.000000000000000	double
		[124]	86.000000000000000	double
		[125]	-94.000000000000000	double
		[126]	-165.00000000000000	double
		[127]	87.000000000000000	double
		[128]	219.00000000000000	double
		[129]	14.000000000000000	double
		[130]	288.00000000000000	double
		[131]	105.00000000000000	double
		[132]	63.000000000000000	double
		[133]	73.000000000000000	double
		[134]	-93.000000000000000	double
		[135]	-17.000000000000000	double
		[136]	148.00000000000000	double
		[137]	29.000000000000000	double
		[138]	48.000000000000000	double
		[139]	23.000000000000000	double
		[140]	168.00000000000000	double
		[141]	215.00000000000000	double
		[142]	145.00000000000000	double
		[143]	106.00000000000000	double
		[144]	70.000000000000000	double
		[145]	68.000000000000000	double
		[146]	-21.000000000000000	double
		[147]	95.000000000000000	double
		[148]	-11.000000000000000	double
		[149]	1.0000000000000000	double
		[150]	15.000000000000000	double
		[151]	-50.000000000000000	double
		[152]	-77.000000000000000	double
		[153]	-219.00000000000000	double
		[154]	163.00000000000000	double
		[155]	308.00000000000000	double
		[156]	295.00000000000000	double
		[157]	334.00000000000000	double
		[158]	248.00000000000000	double
		[159]	132.00000000000000	double
		[160]	227.00000000000000	double
		[161]	-64.000000000000000	double
		[162]	23.000000000000000	double
		[163]	-159.00000000000000	double
		[164]	106.00000000000000	double
		[165]	134.00000000000000	double
		[166]	125.00000000000000	double
		[167]	-47.000000000000000	double
		[168]	-357.00000000000000	double
		[169]	-220.00000000000000	double
		[170]	-93.000000000000000	double
		[171]	-57.000000000000000	double
		[172]	237.00000000000000	double
		[173]	-169.00000000000000	double
		[174]	435.00000000000000	double
		[175]	758.00000000000000	double
		[176]	259.00000000000000	double
		[177]	-3.0000000000000000	double
		[178]	245.00000000000000	double
		[179]	238.00000000000000	double
		[180]	267.00000000000000	double
		[181]	15.000000000000000	double
		[182]	-35.000000000000000	double
		[183]	-37.000000000000000	double
		[184]	16.000000000000000	double
		[185]	71.000000000000000	double
		[186]	369.00000000000000	double
		[187]	4.0000000000000000	double
		[188]	-22.000000000000000	double
		[189]	-167.00000000000000	double
		[190]	-89.000000000000000	double
		[191]	92.000000000000000	double
		[192]	-55.000000000000000	double
		[193]	-66.000000000000000	double
		[194]	87.000000000000000	double
		[195]	120.00000000000000	double
		[196]	-183.00000000000000	double
		[197]	71.000000000000000	double
		[198]	476.00000000000000	double
		[199]	-15.000000000000000	double
		[200]	-49.000000000000000	double
		[201]	153.00000000000000	double
		[202]	189.00000000000000	double
		[203]	111.00000000000000	double
		[204]	355.00000000000000	double
		[205]	171.00000000000000	double
		[206]	113.00000000000000	double
		[207]	192.00000000000000	double
		[208]	32.000000000000000	double
		[209]	-230.00000000000000	double
		[210]	-218.00000000000000	double
		[211]	-252.00000000000000	double
		[212]	-24.000000000000000	double
		[213]	7.0000000000000000	double
		[214]	461.00000000000000	double
		[215]	207.00000000000000	double
		[216]	239.00000000000000	double
		[217]	116.00000000000000	double
		[218]	281.00000000000000	double
		[219]	40.000000000000000	double
		[220]	-77.000000000000000	double
		[221]	-185.00000000000000	double
		[222]	228.00000000000000	double
		[223]	26.000000000000000	double
		[224]	185.00000000000000	double
		[225]	332.00000000000000	double
		[226]	258.00000000000000	double
		[227]	127.00000000000000	double
		[228]	13.000000000000000	double
		[229]	-269.00000000000000	double
		[230]	105.00000000000000	double
		[231]	294.00000000000000	double
		[232]	57.000000000000000	double
		[233]	-39.000000000000000	double
		[234]	59.000000000000000	double
		[235]	-56.000000000000000	double
		[236]	18.000000000000000	double
		[237]	-4.0000000000000000	double
		[238]	-188.00000000000000	double
		[239]	57.000000000000000	double
		[240]	10.000000000000000	double
		[241]	98.000000000000000	double
		[242]	301.00000000000000	double
		[243]	223.00000000000000	double
		[244]	-13.000000000000000	double
		[245]	181.00000000000000	double
		[246]	-17.000000000000000	double
		[247]	-127.00000000000000	double
		[248]	55.000000000000000	double
		[249]	-52.000000000000000	double
		[250]	-6.0000000000000000	double
		[251]	-86.000000000000000	double
		[252]	243.00000000000000	double
		[253]	252.00000000000000	double
		[254]	350.00000000000000	double
		[255]	282.00000000000000	double
		[256]	247.00000000000000	double
		[257]	366.00000000000000	double
		[258]	61.000000000000000	double
		[259]	-270.00000000000000	double
		[260]	-73.000000000000000	double
		[261]	-94.000000000000000	double
		[262]	93.000000000000000	double
		[263]	33.000000000000000	double
		[264]	-268.00000000000000	double
		[265]	-211.00000000000000	double
		[266]	-127.00000000000000	double
		[267]	161.00000000000000	double
		[268]	157.00000000000000	double
		[269]	396.00000000000000	double
		[270]	245.00000000000000	double
		[271]	261.00000000000000	double
		[272]	177.00000000000000	double
		[273]	165.00000000000000	double
		[274]	159.00000000000000	double
		[275]	158.00000000000000	double
		[276]	-11.000000000000000	double
		[277]	-41.000000000000000	double
		[278]	214.00000000000000	double
		[279]	299.00000000000000	double
		[280]	-12.000000000000000	double
		[281]	-142.00000000000000	double
		[282]	-30.000000000000000	double
		[283]	-307.00000000000000	double
		[284]	16.000000000000000	double
		[285]	289.00000000000000	double
		[286]	229.00000000000000	double
		[287]	316.00000000000000	double
		[288]	-15.000000000000000	double
		[289]	-267.00000000000000	double
		[290]	-17.000000000000000	double
		[291]	-121.00000000000000	double
		[292]	-39.000000000000000	double
		[293]	199.00000000000000	double
		[294]	-22.000000000000000	double
		[295]	-105.00000000000000	double
		[296]	136.00000000000000	double
		[297]	52.000000000000000	double
		[298]	184.00000000000000	double
		[299]	384.00000000000000	double
		[300]	52.000000000000000	double
		[301]	295.00000000000000	double
		[302]	308.00000000000000	double
		[303]	-97.000000000000000	double
		[304]	152.00000000000000	double
		[305]	74.000000000000000	double
		[306]	161.00000000000000	double
		[307]	-19.000000000000000	double
		[308]	139.00000000000000	double
		[309]	-131.00000000000000	double
		[310]	3.0000000000000000	double
		[311]	43.000000000000000	double
		[312]	-167.00000000000000	double
		[313]	-119.00000000000000	double
		[314]	20.000000000000000	double
		[315]	42.000000000000000	double
		[316]	-14.000000000000000	double
		[317]	196.00000000000000	double
		[318]	327.00000000000000	double
		[319]	80.000000000000000	double
